geonameid	name	latitude	longitude	cc	timezone
3040051	les Escaldes	42.507	1.534	AD	Europe/Andorra
3041563	Andorra la Vella	42.508	1.521	AD	Europe/Andorra
290503	Warisan	25.167	55.407	AE	Asia/Dubai
290594	Umm Al Quwain City	25.565	55.555	AE	Asia/Dubai
291074	Ras Al Khaimah City	25.790	55.943	AE	Asia/Dubai
291580	Zayed City	23.654	53.705	AE	Asia/Dubai
291696	Khawr Fakkan	25.331	56.342	AE	Asia/Dubai
291763	Kalba	25.075	56.355	AE	Asia/Dubai
291775	Jumayra	25.208	55.250	AE	Asia/Dubai
292223	Dubai	25.077	55.309	AE	Asia/Dubai
292231	Dibba Al-Fujairah	25.592	56.262	AE	Asia/Dubai
292239	Dibba Al-Hisn	25.620	56.273	AE	Asia/Dubai
292672	Sharjah	25.337	55.412	AE	Asia/Dubai
292688	Ar Ruways	24.110	52.731	AE	Asia/Dubai
292878	Al Fujairah City	25.116	56.341	AE	Asia/Dubai
292913	Al Ain City	24.192	55.761	AE	Asia/Dubai
292932	Ajman City	25.402	55.479	AE	Asia/Dubai
292953	Adh Dhayd	25.288	55.882	AE	Asia/Dubai
292968	Abu Dhabi	24.451	54.397	AE	Asia/Dubai
414901	Al Hamidiyah	25.400	55.529	AE	Asia/Dubai
7289825	Bur Dubai	25.260	55.299	AE	Asia/Dubai
8057551	Khalifah A City	24.426	54.605	AE	Asia/Dubai
8469788	Dubai Marina	25.085	55.146	AE	Asia/Dubai
8469811	Dubai Internet City	25.095	55.162	AE	Asia/Dubai
8475866	Ar Rumaylah	25.403	55.433	AE	Asia/Dubai
8475923	Al Jurf	25.418	55.508	AE	Asia/Dubai
8541937	Dubai Festival City	25.222	55.357	AE	Asia/Dubai
8541977	Dubai International Financial Centre	25.211	55.278	AE	Asia/Dubai
11048853	Dubai Investments Park	25.008	55.157	AE	Asia/Dubai
11524601	Jebel Ali	25.003	55.108	AE	Asia/Dubai
12042052	Bani Yas City	24.310	54.629	AE	Asia/Dubai
12042053	Musaffah	24.359	54.483	AE	Asia/Dubai
12047416	Al Shamkhah City	24.393	54.708	AE	Asia/Dubai
12047417	Reef Al Fujairah City	25.145	56.248	AE	Asia/Dubai
1120985	Zaranj	30.960	61.860	AF	Asia/Kabul
1121381	Bazar-e Yakawlang	34.735	66.974	AF	Asia/Kabul
1123004	Taloqan	36.736	69.535	AF	Asia/Kabul
1125155	Shindand	33.303	62.147	AF	Asia/Kabul
1125444	Shibirghan	36.668	65.753	AF	Asia/Kabul
1125896	Shahrak	34.107	64.305	AF	Asia/Kabul
1127110	Sar-e Pul	36.215	65.932	AF	Asia/Kabul
1127628	Sang-e Charak	35.850	66.437	AF	Asia/Kabul
1127768	Aibak	36.265	68.016	AF	Asia/Kabul
1128265	Rustaq	37.126	69.830	AF	Asia/Kabul
1129516	Qarqin	37.419	66.044	AF	Asia/Kabul
1129648	Qarawul	37.220	68.780	AF	Asia/Kabul
1130490	Pul-e Khumri	35.945	68.715	AF	Asia/Kabul
1131316	Paghman	34.588	68.951	AF	Asia/Kabul
1132495	Nahrin	36.065	69.133	AF	Asia/Kabul
1133453	Maymana	35.921	64.784	AF	Asia/Kabul
1133574	Mehtar Lam	34.671	70.209	AF	Asia/Kabul
1133616	Mazar-e Sharif	36.709	67.111	AF	Asia/Kabul
1134720	Lashkar Gah	31.594	64.372	AF	Asia/Kabul
1135158	Kushk	33.296	61.952	AF	Asia/Kabul
1135689	Kunduz	36.729	68.857	AF	Asia/Kabul
1136469	Khost	33.340	69.920	AF	Asia/Kabul
1136575	Khulm	36.697	67.698	AF	Asia/Kabul
1136863	Khash	31.529	62.791	AF	Asia/Kabul
1137079	Khan Neshin	30.549	63.789	AF	Asia/Kabul
1137168	Khanabad	36.683	69.113	AF	Asia/Kabul
1137807	Karukh	34.481	62.586	AF	Asia/Kabul
1138336	Kandahar	31.613	65.710	AF	Asia/Kabul
1138958	Kabul	34.528	69.172	AF	Asia/Kabul
1139715	Jalalabad	34.426	70.452	AF	Asia/Kabul
1139807	Jabal os Saraj	35.118	69.238	AF	Asia/Kabul
1140026	Herat	34.348	62.200	AF	Asia/Kabul
1141089	Ghormach	35.731	63.783	AF	Asia/Kabul
1141269	Ghazni	33.554	68.421	AF	Asia/Kabul
1141540	Gereshk	31.821	64.570	AF	Asia/Kabul
1141857	Gardez	33.597	69.226	AF	Asia/Kabul
1142170	Fayzabad	37.117	70.580	AF	Asia/Kabul
1142264	Farah	32.375	62.116	AF	Asia/Kabul
1142404	Eslam Qaleh	34.667	61.067	AF	Asia/Kabul
1145352	Charikar	35.014	69.171	AF	Asia/Kabul
1147066	Baraki Barak	33.967	68.949	AF	Asia/Kabul
1147242	Bamyan	34.822	67.827	AF	Asia/Kabul
1147290	Balkh	36.756	66.897	AF	Asia/Kabul
1147540	Baghlan	36.131	68.708	AF	Asia/Kabul
1148106	Art Khwajah	37.086	69.480	AF	Asia/Kabul
1148205	Asmar	35.033	71.358	AF	Asia/Kabul
1148311	Asadabad	34.873	71.147	AF	Asia/Kabul
1148658	Andkhoy	36.953	65.124	AF	Asia/Kabul
1429434	Bazarak	35.313	69.515	AF	Asia/Kabul
1469706	Markaz-e Woluswali-ye Achin	34.126	70.708	AF	Asia/Kabul
3576022	Saint John's	17.121	-61.843	AG	America/Antigua
3573374	The Valley	18.217	-63.058	AI	America/Anguilla
363243	Sarande	39.875	20.005	AL	Europe/Tirane
781988	Pogradec	40.903	20.653	AL	Europe/Tirane
782661	Kukes	42.077	20.422	AL	Europe/Tirane
782756	Korce	40.619	20.781	AL	Europe/Tirane
